[2026-06-02T19:10:51.480Z] GET http://100.104.115.85:8080/ → pending (?ms, ?B)
[2026-06-02T19:10:51.485Z] GET http://100.104.115.85:8080/ → 200 (71ms, 828B)
[2026-06-02T19:10:51.569Z] GET http://100.104.115.85:8080/config.js → 200 (32ms, 237B)
[2026-06-02T19:10:51.569Z] GET http://100.104.115.85:8080/assets/index-BKzAtVek.js → 200 (90ms, 32008B)
[2026-06-02T19:10:51.569Z] GET http://100.104.115.85:8080/assets/index-D7cnibnq.css → 200 (72ms, 7946B)
[2026-06-02T19:10:51.708Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (48ms, 971B)
[2026-06-02T19:10:51.708Z] GET http://100.104.115.85:8080/api/v1/metrics → pending (?ms, ?B)
[2026-06-02T19:10:51.708Z] GET http://100.104.115.85:8080/api/v1/scheduler/timeline → pending (?ms, ?B)
[2026-06-02T19:10:51.708Z] GET http://100.104.115.85:8080/api/v1/pv/today → pending (?ms, ?B)
[2026-06-02T19:10:51.708Z] GET http://100.104.115.85:8080/api/v1/agile/today → pending (?ms, ?B)
[2026-06-02T19:10:51.708Z] GET http://100.104.115.85:8080/api/v1/weather → pending (?ms, ?B)
[2026-06-02T19:10:51.708Z] GET http://100.104.115.85:8080/api/v1/execution/today → pending (?ms, ?B)
[2026-06-02T19:10:51.708Z] GET http://100.104.115.85:8080/api/v1/energy/report?date=2026-06-02&period=day → pending (?ms, ?B)
[2026-06-02T19:10:51.708Z] GET http://100.104.115.85:8080/api/v1/energy/monthly?month=2026-01 → pending (?ms, ?B)
[2026-06-02T19:10:51.709Z] GET http://100.104.115.85:8080/api/v1/energy/monthly?month=2026-02 → pending (?ms, ?B)
[2026-06-02T19:10:51.709Z] GET http://100.104.115.85:8080/api/v1/energy/monthly?month=2026-03 → pending (?ms, ?B)
[2026-06-02T19:10:51.709Z] GET http://100.104.115.85:8080/api/v1/energy/monthly?month=2026-04 → pending (?ms, ?B)
[2026-06-02T19:10:51.709Z] GET http://100.104.115.85:8080/api/v1/energy/monthly?month=2026-05 → pending (?ms, ?B)
[2026-06-02T19:10:51.709Z] GET http://100.104.115.85:8080/api/v1/energy/monthly?month=2026-06 → pending (?ms, ?B)
[2026-06-02T19:10:51.709Z] GET http://100.104.115.85:8080/api/v1/daikin/status → pending (?ms, ?B)
[2026-06-02T19:10:51.709Z] GET http://100.104.115.85:8080/api/v1/daikin/quota → pending (?ms, ?B)
[2026-06-02T19:10:51.710Z] GET http://100.104.115.85:8080/api/v1/energy/period?period=month&month=2026-06 → pending (?ms, ?B)
[2026-06-02T19:10:51.710Z] POST http://100.104.115.85:8080/api/v1/tariffs/dashboard → pending (?ms, ?B)
[2026-06-02T19:10:51.710Z] GET http://100.104.115.85:8080/api/v1/foxess/quota → pending (?ms, ?B)
[2026-06-02T19:10:51.790Z] GET http://100.104.115.85:8080/assets/TodayPlanWidget-bR0eYcGk.js → pending (?ms, ?B)
[2026-06-02T19:10:51.790Z] GET http://100.104.115.85:8080/assets/charts-9B-_yaPp.js → pending (?ms, ?B)
[2026-06-02T19:10:51.790Z] GET http://100.104.115.85:8080/assets/echarts-DqApljyZ.js → pending (?ms, ?B)
[2026-06-02T19:10:51.791Z] GET http://100.104.115.85:8080/assets/TodayPlanWidget-Dgh-T-eX.css → pending (?ms, ?B)
[2026-06-02T19:10:51.791Z] GET http://100.104.115.85:8080/assets/EnergyChartWidget-DD7GoGdq.js → pending (?ms, ?B)
[2026-06-02T19:10:51.791Z] GET http://100.104.115.85:8080/assets/EnergyChartWidget-BUYEr8II.css → pending (?ms, ?B)
[2026-06-02T19:10:51.823Z] GET http://100.104.115.85:8080/api/v1/daikin/dhw-schedule → pending (?ms, ?B)
[2026-06-02T19:11:11.089Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → pending (?ms, ?B)
[2026-06-02T19:11:13.354Z] GET http://100.104.115.85:8080/api/v1/daikin/consumption?period=month&month=2026-06 → pending (?ms, ?B)
[2026-06-02T19:11:50.382Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (58ms, 968B)
[2026-06-02T19:12:09.802Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (51ms, 968B)
[2026-06-02T19:12:29.855Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (50ms, 968B)
[2026-06-02T19:12:49.249Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (55ms, 966B)
[2026-06-02T19:13:08.631Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (56ms, 967B)
[2026-06-02T19:13:28.008Z] GET http://100.104.115.85:8080/ → 200 (37ms, ?B)
[2026-06-02T19:13:28.052Z] GET http://100.104.115.85:8080/config.js → 200 (31ms, 237B)
[2026-06-02T19:13:28.052Z] GET http://100.104.115.85:8080/assets/index-BKzAtVek.js → 200 (?ms, -375B)
[2026-06-02T19:13:28.053Z] GET http://100.104.115.85:8080/assets/index-D7cnibnq.css → 200 (?ms, -360B)
[2026-06-02T19:13:28.103Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (49ms, 968B)
[2026-06-02T19:13:28.107Z] GET http://100.104.115.85:8080/api/v1/metrics → 200 (733ms, 636B)
[2026-06-02T19:13:28.107Z] GET http://100.104.115.85:8080/api/v1/scheduler/timeline → 200 (740ms, 3058B)
[2026-06-02T19:13:28.107Z] GET http://100.104.115.85:8080/api/v1/pv/today → pending (?ms, ?B)
[2026-06-02T19:13:28.108Z] GET http://100.104.115.85:8080/api/v1/agile/today → pending (?ms, ?B)
[2026-06-02T19:13:28.108Z] GET http://100.104.115.85:8080/api/v1/weather → pending (?ms, ?B)
[2026-06-02T19:13:28.108Z] GET http://100.104.115.85:8080/api/v1/execution/today → pending (?ms, ?B)
[2026-06-02T19:13:28.108Z] GET http://100.104.115.85:8080/api/v1/energy/report?date=2026-06-02&period=day → pending (?ms, ?B)
[2026-06-02T19:13:28.108Z] GET http://100.104.115.85:8080/api/v1/energy/monthly?month=2026-01 → pending (?ms, ?B)
[2026-06-02T19:13:28.108Z] GET http://100.104.115.85:8080/api/v1/energy/monthly?month=2026-02 → pending (?ms, ?B)
[2026-06-02T19:13:28.108Z] GET http://100.104.115.85:8080/api/v1/energy/monthly?month=2026-03 → pending (?ms, ?B)
[2026-06-02T19:13:28.108Z] GET http://100.104.115.85:8080/api/v1/energy/monthly?month=2026-04 → pending (?ms, ?B)
[2026-06-02T19:13:28.108Z] GET http://100.104.115.85:8080/api/v1/energy/monthly?month=2026-05 → pending (?ms, ?B)
[2026-06-02T19:13:28.108Z] GET http://100.104.115.85:8080/api/v1/energy/monthly?month=2026-06 → pending (?ms, ?B)
[2026-06-02T19:13:28.108Z] GET http://100.104.115.85:8080/api/v1/daikin/status → pending (?ms, ?B)
[2026-06-02T19:13:28.108Z] GET http://100.104.115.85:8080/api/v1/daikin/quota → pending (?ms, ?B)
[2026-06-02T19:13:28.108Z] GET http://100.104.115.85:8080/api/v1/energy/period?period=month&month=2026-06 → pending (?ms, ?B)
[2026-06-02T19:13:28.108Z] POST http://100.104.115.85:8080/api/v1/tariffs/dashboard → pending (?ms, ?B)
[2026-06-02T19:13:28.108Z] GET http://100.104.115.85:8080/api/v1/foxess/quota → pending (?ms, ?B)
[2026-06-02T19:13:28.160Z] GET http://100.104.115.85:8080/assets/TodayPlanWidget-bR0eYcGk.js → 200 (1ms, -374B)
[2026-06-02T19:13:28.161Z] GET http://100.104.115.85:8080/assets/charts-9B-_yaPp.js → 200 (?ms, -373B)
[2026-06-02T19:13:28.162Z] GET http://100.104.115.85:8080/assets/echarts-DqApljyZ.js → 200 (?ms, -375B)
[2026-06-02T19:13:28.162Z] GET http://100.104.115.85:8080/assets/TodayPlanWidget-Dgh-T-eX.css → 200 (?ms, -325B)
[2026-06-02T19:13:28.162Z] GET http://100.104.115.85:8080/assets/EnergyChartWidget-DD7GoGdq.js → 200 (?ms, -374B)
[2026-06-02T19:13:28.162Z] GET http://100.104.115.85:8080/assets/EnergyChartWidget-BUYEr8II.css → 200 (?ms, -359B)
[2026-06-02T19:13:28.228Z] GET http://100.104.115.85:8080/api/v1/daikin/dhw-schedule → pending (?ms, ?B)
[2026-06-02T19:13:28.228Z] GET http://100.104.115.85:8080/api/v1/daikin/consumption?period=month&month=2026-06 → pending (?ms, ?B)
[2026-06-02T19:13:47.489Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (52ms, 967B)
[2026-06-02T19:14:07.547Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (52ms, 969B)
[2026-06-02T19:14:26.927Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (76ms, 967B)
[2026-06-02T19:14:46.340Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (62ms, 968B)
[2026-06-02T19:15:06.405Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (51ms, 969B)
[2026-06-02T19:15:25.794Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (55ms, 966B)
[2026-06-02T19:15:45.853Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (74ms, 967B)
[2026-06-02T19:16:05.265Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (53ms, 968B)
[2026-06-02T19:16:24.658Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → pending (?ms, ?B)
[2026-06-02T19:16:44.719Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (53ms, 967B)
[2026-06-02T19:17:04.111Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (55ms, 971B)
[2026-06-02T19:17:23.470Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (66ms, 969B)
[2026-06-02T19:17:43.541Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (62ms, 966B)
[2026-06-02T19:18:02.893Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (54ms, 972B)
[2026-06-02T19:18:22.752Z] GET http://100.104.115.85:8080/api/v1/metrics → pending (?ms, ?B)
[2026-06-02T19:18:22.759Z] GET http://100.104.115.85:8080/api/v1/scheduler/timeline → pending (?ms, ?B)
[2026-06-02T19:18:22.951Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → pending (?ms, ?B)
[2026-06-02T19:18:31.678Z] GET http://100.104.115.85:8080/api/v1/pv/today → pending (?ms, ?B)
[2026-06-02T19:18:42.772Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (56ms, 972B)
[2026-06-02T19:19:02.126Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (50ms, 970B)
[2026-06-02T19:19:22.178Z] GET http://100.104.115.85:8080/api/v1/cockpit/now → 200 (75ms, 971B)
